iter	Passed	Remaining
0	158	317233
1	163	163183
2	167	111503
3	171	85528
4	175	69924
5	178	59447
6	182	52032
7	186	46388
8	190	42091
9	194	38629
10	198	35974
11	203	33634
12	206	31609
13	210	29859
14	214	28371
15	218	27144
16	224	26130
17	227	25093
18	231	24136
19	235	23304
20	239	22525
21	242	21826
22	246	21166
23	250	20589
24	253	20018
25	256	19506
26	260	19022
27	263	18586
28	267	18164
29	271	17828
30	276	17559
31	310	19093
32	314	18739
33	318	18405
34	322	18121
35	326	17799
36	329	17506
37	333	17210
38	336	16936
39	340	16672
40	343	16431
41	347	16192
42	351	15988
43	355	15813
44	359	15633
45	364	15462
46	369	15354
47	373	15205
48	378	15056
49	382	14933
50	386	14781
51	391	14657
52	395	14522
53	399	14386
54	403	14257
55	406	14125
56	411	14042
57	416	13943
58	420	13818
59	423	13698
60	427	13599
61	431	13490
62	435	13383
63	438	13278
64	443	13190
65	446	13092
66	450	12998
67	454	12912
68	458	12818
69	461	12730
70	465	12641
71	469	12562
72	472	12480
73	476	12404
74	480	12328
75	484	12270
76	489	12237
77	494	12195
78	499	12144
79	503	12075
80	506	12009
81	510	11942
82	515	11899
83	519	11841
84	523	11784
85	526	11725
86	530	11669
87	534	11615
88	538	11555
89	542	11504
90	546	11464
91	550	11417
92	554	11367
93	558	11317
94	562	11281
95	566	11238
96	570	11189
97	575	11175
98	580	11146
99	584	11104
100	590	11104
101	594	11059
102	597	11009
103	601	10962
104	604	10916
105	608	10870
106	612	10829
107	615	10783
108	619	10754
109	623	10713
110	627	10671
111	630	10625
112	636	10633
113	641	10605
114	644	10565
115	648	10535
116	652	10500
117	655	10461
118	659	10425
119	663	10389
120	680	10560
121	684	10530
122	688	10499
123	693	10486
124	698	10475
125	702	10449
126	707	10430
127	711	10405
128	715	10372
129	718	10341
130	723	10317
131	727	10291
132	731	10261
133	734	10231
134	738	10206
135	742	10177
136	746	10149
137	750	10123
138	754	10097
139	758	10071
140	761	10042
141	765	10020
142	769	9997
143	774	9980
144	778	9956
145	782	9930
146	787	9926
147	792	9914
148	796	9891
149	800	9871
150	804	9850
151	807	9821
152	811	9794
153	814	9768
154	818	9742
155	821	9713
156	825	9686
157	829	9666
158	832	9642
159	836	9621
160	840	9595
161	844	9576
162	847	9551
163	851	9528
164	854	9502
165	857	9478
166	861	9454
167	864	9431
168	868	9406
169	871	9382
170	875	9362
171	878	9341
172	882	9323
173	886	9302
174	892	9305
175	897	9303
176	901	9286
177	906	9280
178	910	9264
179	914	9243
180	918	9228
181	922	9213
182	926	9194
183	929	9177
184	934	9163
185	938	9149
186	942	9134
187	945	9115
188	949	9100
189	953	9081
190	957	9065
191	960	9046
192	964	9031
193	968	9018
194	972	9003
195	976	8987
196	980	8975
197	984	8959
198	988	8943
199	991	8925
200	996	8918
201	1000	8901
202	1003	8883
203	1008	8877
204	1011	8860
205	1015	8845
206	1018	8825
207	1022	8808
208	1026	8793
209	1030	8782
210	1034	8769
211	1037	8754
212	1042	8743
213	1045	8727
214	1049	8712
215	1053	8698
216	1057	8687
217	1061	8673
218	1064	8657
219	1068	8644
220	1071	8628
221	1075	8614
222	1078	8598
223	1082	8584
224	1086	8571
225	1090	8556
226	1093	8544
227	1097	8530
228	1102	8525
229	1106	8513
230	1109	8499
231	1115	8497
232	1121	8502
233	1127	8510
234	1133	8510
235	1137	8503
236	1142	8498
237	1146	8490
238	1150	8475
239	1153	8461
240	1157	8449
241	1162	8441
242	1165	8430
243	1169	8414
244	1173	8403
245	1176	8387
246	1180	8374
247	1183	8360
248	1187	8349
249	1190	8334
250	1194	8321
251	1197	8306
252	1201	8297
253	1205	8287
254	1209	8273
255	1213	8265
256	1217	8257
257	1221	8245
258	1224	8231
259	1228	8218
260	1231	8206
261	1235	8193
262	1238	8181
263	1242	8167
264	1245	8155
265	1249	8144
266	1252	8132
267	1256	8119
268	1259	8107
269	1263	8098
270	1267	8089
271	1271	8079
272	1275	8068
273	1279	8058
274	1283	8050
275	1286	8038
276	1290	8027
277	1294	8016
278	1298	8009
279	1302	8002
280	1306	7993
281	1312	7992
282	1317	7995
283	1322	7992
284	1327	7988
285	1331	7978
286	1335	7969
287	1338	7957
288	1342	7949
289	1346	7937
290	1349	7927
291	1353	7915
292	1356	7905
293	1360	7896
294	1364	7884
295	1368	7876
296	1371	7865
297	1375	7854
298	1378	7842
299	1382	7832
300	1386	7828
301	1391	7824
302	1396	7820
303	1400	7811
304	1403	7799
305	1407	7791
306	1410	7780
307	1414	7769
308	1417	7758
309	1421	7748
310	1424	7738
311	1428	7728
