iter	Passed	Remaining
0	17	34133
1	20	20433
2	25	16665
3	30	15067
4	41	16638
5	49	16328
6	56	16082
7	65	16224
8	68	15188
9	79	15728
10	85	15455
11	92	15377
12	100	15290
13	105	14951
14	116	15463
15	123	15327
16	128	15021
17	135	14895
18	142	14873
19	146	14520
20	151	14281
21	158	14207
22	162	13994
23	168	13847
24	176	13980
25	184	14039
26	191	13972
27	195	13742
28	200	13610
29	207	13607
30	211	13423
31	216	13296
32	221	13192
33	228	13189
34	235	13200
35	239	13052
36	243	12925
37	249	12884
38	255	12840
39	259	12725
40	264	12657
41	271	12673
42	277	12635
43	283	12619
44	288	12540
45	292	12426
46	297	12362
47	301	12256
48	307	12236
49	311	12163
50	316	12090
51	320	12006
52	324	11917
53	329	11863
54	335	11850
55	340	11827
56	346	11828
57	352	11793
58	357	11774
59	362	11730
60	366	11647
61	371	11598
62	375	11552
63	378	11464
64	382	11386
65	385	11290
66	389	11224
67	391	11133
68	395	11071
69	399	11004
70	402	10936
71	407	10921
72	411	10866
73	415	10803
74	418	10745
75	423	10720
76	426	10657
77	430	10611
78	435	10593
79	438	10521
80	441	10465
81	445	10417
82	448	10369
83	451	10305
84	455	10252
85	457	10191
86	461	10143
87	470	10225
88	473	10162
89	476	10112
90	479	10052
91	482	10001
92	485	9957
93	489	9921
94	493	9889
95	498	9881
96	502	9856
97	506	9833
98	510	9811
99	516	9805
100	519	9769
101	524	9769
102	527	9722
103	534	9736
104	538	9725
105	541	9682
106	545	9654
107	551	9658
108	554	9620
109	559	9608
110	563	9594
111	568	9576
112	572	9561
113	577	9546
114	581	9533
115	585	9506
116	589	9484
117	593	9463
118	596	9433
119	599	9398
120	603	9365
121	607	9345
122	611	9327
123	615	9309
124	618	9278
125	625	9297
126	631	9320
127	635	9289
128	640	9283
129	646	9300
130	650	9282
131	654	9261
132	658	9249
133	662	9228
134	671	9274
135	675	9259
136	679	9234
137	683	9227
138	690	9249
139	694	9228
140	698	9211
141	701	9181
142	705	9163
143	709	9141
144	712	9115
145	715	9083
146	719	9073
147	725	9077
148	729	9068
149	735	9067
150	740	9066
151	744	9050
152	748	9032
153	752	9015
154	755	8996
155	761	9003
156	767	9005
157	769	8976
158	773	8960
159	777	8939
160	780	8914
161	783	8894
162	789	8892
163	793	8877
164	795	8850
165	800	8843
166	804	8824
167	807	8800
168	809	8772
169	812	8748
170	815	8722
171	818	8693
172	823	8694
173	828	8689
174	831	8674
175	834	8649
176	837	8625
177	840	8603
178	843	8582
179	847	8565
180	850	8543
181	854	8536
182	858	8519
183	863	8523
184	870	8538
185	876	8551
186	882	8553
187	886	8545
188	889	8525
189	893	8515
190	897	8498
191	902	8494
192	905	8478
193	909	8463
194	911	8440
195	917	8442
196	920	8424
197	925	8420
198	930	8420
199	935	8415
200	937	8394
201	941	8384
202	944	8365
203	950	8370
204	955	8367
205	959	8352
206	962	8335
207	964	8313
208	968	8298
209	971	8276
210	974	8262
211	977	8241
212	980	8222
213	984	8217
214	989	8218
215	993	8203
216	998	8200
217	1001	8187
218	1005	8177
219	1010	8176
220	1013	8156
221	1017	8152
222	1022	8146
223	1028	8154
224	1032	8148
225	1037	8147
226	1041	8135
227	1044	8120
228	1048	8110
229	1052	8098
230	1058	8105
231	1064	8113
232	1067	8098
233	1072	8093
234	1075	8078
235	1078	8060
236	1080	8041
237	1084	8028
238	1088	8020
239	1092	8012
240	1097	8012
241	1100	7994
242	1103	7981
243	1106	7965
244	1111	7962
245	1114	7949
246	1118	7936
247	1125	7953
248	1131	7959
249	1137	7961
250	1140	7944
251	1144	7935
252	1147	7926
253	1151	7915
254	1155	7910
255	1159	7896
256	1162	7884
257	1167	7885
258	1171	7873
259	1174	7858
260	1178	7850
261	1181	7838
262	1185	7827
263	1188	7813
264	1192	7806
265	1197	7806
266	1200	7794
267	1205	7792
268	1208	7779
269	1212	7767
270	1214	7751
271	1218	7742
272	1223	7739
273	1226	7727
274	1230	7717
275	1234	7712
276	1240	7713
277	1243	7702
278	1247	7694
279	1251	7690
280	1257	7695
